"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.1.1","DNS","86","Standard query 0x442e A detectportal.firefox.com"
"2","0.000046320","127.0.0.1","127.0.1.1","DNS","86","Standard query 0x8d50 AAAA detectportal.firefox.com"
"3","0.046395340","192.168.109.131","192.168.109.2","DNS","86","Standard query 0xc886 A detectportal.firefox.com"
"4","0.046530000","192.168.109.131","192.168.109.2","DNS","86","Standard query 0x8de4 AAAA detectportal.firefox.com"
"5","0.054880970","192.168.109.2","192.168.109.131","DNS","552","Standard query response 0xc886 A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net A 103.243.115.112 A 103.243.115.107 NS n4dscd.akamai.net NS n1dscd.akamai.net NS n0dscd.akamai.net NS n6dscd.akamai.net NS n2dscd.akamai.net NS n5dscd.akamai.net NS n7dscd.akamai.net NS n3dscd.akamai.net A 88.221.81.192 AAAA 2600:1480:e800::c0 A 103.243.115.103 A 103.243.115.101 A 183.87.151.110 A 183.87.151.124 A 183.87.151.108 A 183.87.151.109"
"6","0.054928034","192.168.109.2","192.168.109.131","DNS","544","Standard query response 0x8de4 AAAA detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net AAAA 2401:a100:3:4::b757:977d AAAA 2401:a100:3:4::b757:9763 NS n5dscd.akamai.net NS n2dscd.akamai.net NS n1dscd.akamai.net NS n6dscd.akamai.net NS n7dscd.akamai.net NS n0dscd.akamai.net NS n3dscd.akamai.net NS n4dscd.akamai.net A 88.221.81.192 AAAA 2600:1480:e800::c0 A 103.243.115.103 A 103.243.115.101 A 183.87.151.110 A 183.87.151.124"
"7","0.055781471","127.0.1.1","127.0.0.1","DNS","552","Standard query response 0x442e A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net A 103.243.115.112 A 103.243.115.107 NS n4dscd.akamai.net NS n1dscd.akamai.net NS n0dscd.akamai.net NS n6dscd.akamai.net NS n2dscd.akamai.net NS n5dscd.akamai.net NS n7dscd.akamai.net NS n3dscd.akamai.net A 88.221.81.192 AAAA 2600:1480:e800::c0 A 103.243.115.103 A 103.243.115.101 A 183.87.151.110 A 183.87.151.124 A 183.87.151.108 A 183.87.151.109"
"8","0.055823263","127.0.1.1","127.0.0.1","DNS","544","Standard query response 0x8d50 AAAA detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net AAAA 2401:a100:3:4::b757:977d AAAA 2401:a100:3:4::b757:9763 NS n5dscd.akamai.net NS n2dscd.akamai.net NS n1dscd.akamai.net NS n6dscd.akamai.net NS n7dscd.akamai.net NS n0dscd.akamai.net NS n3dscd.akamai.net NS n4dscd.akamai.net A 88.221.81.192 AAAA 2600:1480:e800::c0 A 103.243.115.103 A 103.243.115.101 A 183.87.151.110 A 183.87.151.124"
"9","0.046395340","192.168.109.131","192.168.109.2","DNS","84","Standard query 0xc886 A detectportal.firefox.com"
"10","0.046530000","192.168.109.131","192.168.109.2","DNS","84","Standard query 0x8de4 AAAA detectportal.firefox.com"
"11","0.054880970","192.168.109.2","192.168.109.131","DNS","550","Standard query response 0xc886 A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net A 103.243.115.112 A 103.243.115.107 NS n4dscd.akamai.net NS n1dscd.akamai.net NS n0dscd.akamai.net NS n6dscd.akamai.net NS n2dscd.akamai.net NS n5dscd.akamai.net NS n7dscd.akamai.net NS n3dscd.akamai.net A 88.221.81.192 AAAA 2600:1480:e800::c0 A 103.243.115.103 A 103.243.115.101 A 183.87.151.110 A 183.87.151.124 A 183.87.151.108 A 183.87.151.109"
